filename,pin_title,pin_description,product_type,affiliate_link,board_name,alt_text,status
"01-tiroir-avant-apres-organisateur.png","Ce tiroir était un cauchemar… regarde ça 😳","Beaucoup de tiroirs finissent comme ça avec le temps…\nAvec un simple organisateur :\n✔ tout devient accessible\n✔ fini le désordre\n✔ installation rapide\nVoir ici 👇\nhttps://www.amazon.ca/dp/B08KXKVT4K?tag=amaterest-20","Organisateur de tiroir","https://www.amazon.ca/dp/B08KXKVT4K?tag=amaterest-20","Organisation maison","Pin Pinterest montrant un tiroir désorganisé puis rangé avec un organisateur de tiroir.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"02-sous-evier-rangement-fix.png","Le coin le plus chaotique de la maison 😬","Sous l’évier est souvent l’endroit le plus désorganisé…\n✔ accès facile\n✔ plus d’espace\n✔ rangement clair\nLien ici 👇\nhttps://www.amazon.ca/dp/B0BZCMRNB9?tag=amaterest-20","Organisateur sous évier","https://www.amazon.ca/dp/B0BZCMRNB9?tag=amaterest-20","Rangement cuisine","Pin Pinterest montrant une zone sous évier organisée avec un rangement à deux niveaux.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"03-cuisine-contenants-transparents-aesthetic.png","Une cuisine simple et propre, ça change tout 😍","Les contenants transparents font toute la différence :\n✔ look épuré\n✔ tout visible\n✔ organisation simple\nVoir les produits 👇\nhttps://amzn.to/41BjXCA","Contenants transparents / pantry organization","https://amzn.to/41BjXCA","Organisation cuisine","Pin Pinterest montrant des contenants transparents alignés dans une cuisine organisée.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"04-produits-organisation-maison-must-have.png","5 produits simples qui améliorent une maison","Ces produits rendent tout plus facile :\n1. Organisateur tiroir\n2. Rangement sous évier\n3. Bocaux cuisine\n4. Placard\n5. Chaussures\nVoir la liste 👇\nhttps://www.amazon.ca/Best-Sellers/zgbs?tag=amaterest-20","Liste organisation maison","https://www.amazon.ca/Best-Sellers/zgbs?tag=amaterest-20","Organisation maison","Pin Pinterest listant cinq produits simples pour mieux organiser une maison.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"05-petit-placard-rangement-tissu.png","Petit espace = vite désorganisé 😤","Les petits placards deviennent rapidement encombrés…\n✔ plus d’espace\n✔ meilleure visibilité\n✔ organisation rapide\nLien 👇\nhttps://www.amazon.ca/dp/B07SJ2CTV5?tag=amaterest-20","Organisateur de placard / rangement tissu","https://www.amazon.ca/dp/B07SJ2CTV5?tag=amaterest-20","Organisation placard","Pin Pinterest montrant un petit placard organisé avec des rangements en tissu.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"06-entree-chaussures-rangement-before-after.png","L’entrée peut vite devenir un désordre total 😂","Les chaussures qui traînent partout… classique.\n✔ entrée propre\n✔ accès rapide\n✔ meilleur visuel\nVoir ici 👇\nhttps://www.amazon.ca/dp/B0CNGTZ3B5?tag=amaterest-20","Étagère à chaussures","https://www.amazon.ca/dp/B0CNGTZ3B5?tag=amaterest-20","Entrée organisée","Pin Pinterest montrant une entrée rangée avec une étagère à chaussures.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"07-organisateur-tiroir-game-changer.png","Un petit produit qui change beaucoup","Certains produits font une vraie différence :\n✔ gain de temps\n✔ moins de désordre\n✔ plus organisé\nLien 👇\nhttps://www.amazon.ca/dp/B07JGWT25L?tag=amaterest-20","Organisateur de tiroir","https://www.amazon.ca/dp/B07JGWT25L?tag=amaterest-20","Organisation maison","Pin Pinterest montrant un organisateur de tiroir propre avec compartiments visibles.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"08-routine-maison-organisee-sous-evier.png","Une maison organisée, c’est plus simple","Quand tout est à sa place :\n✔ moins de stress\n✔ moins de perte de temps\n✔ entretien plus facile\nQuelques bons produits suffisent.\nVoir 👇\nhttps://www.amazon.ca/dp/B0C1X4PGK4?tag=amaterest-20","Organisateur sous évier","https://www.amazon.ca/dp/B0C1X4PGK4?tag=amaterest-20","Rangement cuisine","Pin Pinterest montrant une routine simple avec une zone de rangement sous évier organisée.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"09-probleme-solution-rangement-sous-evier.png","Si ça ressemble à ça… il y a une solution","Le désordre arrive vite dans certaines zones…\nAvec le bon système :\n✔ organisation rapide\n✔ accès simple\n✔ résultat propre\nLien 👇\nhttps://www.amazon.ca/dp/B0BZCMRNB9?tag=amaterest-20","Organisateur sous évier","https://www.amazon.ca/dp/B0BZCMRNB9?tag=amaterest-20","Rangement cuisine","Pin Pinterest montrant un problème de rangement sous évier et une solution organisée.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
"10-pantry-organisation-contenants-satisfaisant.png","C’est simple… mais très satisfaisant 😍","Une organisation propre donne un vrai effet :\n✔ visuel agréable\n✔ plus fonctionnel\n✔ plus simple au quotidien\nFacile à reproduire.\nVoir 👇\nhttps://www.amazon.ca/Containers-Vtopmart-Organization-Canisters-Labels%EF%BC%8CBlack/dp/B08ZK5WDWN?utm_source=chatgpt.com&th=1&linkCode=ll2&tag=amaterest-20&linkId=a29500070a72f102a49393298e0a0a94&ref_=as_li_ss_tl","Contenants transparents / pantry organization","https://www.amazon.ca/Containers-Vtopmart-Organization-Canisters-Labels%EF%BC%8CBlack/dp/B08ZK5WDWN?utm_source=chatgpt.com&th=1&linkCode=ll2&tag=amaterest-20&linkId=a29500070a72f102a49393298e0a0a94&ref_=as_li_ss_tl","Organisation cuisine","Pin Pinterest montrant des contenants transparents bien alignés pour une organisation satisfaisante.","draft_affiliate_link_added_missing_amazon_visual_pinterest_access"
